doi
10.1007/s11192-015-1765-5
10.3390/su13042202
10.1080/09613218.2016.1086872
10.1016/j.habitatint.2016.06.011
10.1080/15623599.2017.1401290
10.1016/j.egypro.2016.09.106
10.1061/9780784481059.003
10.46488/NEPT.2020.V19I02.036
10.1016/j.clet.2020.100001
10.3138/9781487534905-006
10.1016/j.proeng.2015.11.107
0
10.1016/j.jclepro.2016.10.108
0
0
10.1016/j.enpol.2020.111371
10.1016/j.rser.2015.01.043
10.1002/9781118786178
10.1016/j.enbuild.2018.01.065
